#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	91.96269
k__Bacteria|p__Firmicutes	4.81498
k__Bacteria|p__Proteobacteria	2.97301
k__Bacteria|p__Verrucomicrobia	0.22136
k__Bacteria|p__Actinobacteria	0.02796
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	91.96269
k__Bacteria|p__Firmicutes|c__Clostridia	4.64894
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.93626
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.22136
k__Bacteria|p__Firmicutes|c__Negativicutes	0.11303
k__Bacteria|p__Firmicutes|c__Bacilli	0.04023
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.03675
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.02796
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.01278
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	91.96269
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	4.64894
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2.93626
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.22136
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.11303
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.04023
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.03675
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.02796
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.01278
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	49.63695
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	28.42647
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	13.44732
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.52952
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	2.32044
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.57982
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.61322
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.44735
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.31413
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.22286
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.22136
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.11303
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.04023
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.03675
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.02796
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.01278
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.0046
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.0026
