#SampleID	Metaphlan2_Analysis
k__Bacteria	99.79011
k__Viruses	0.20989
k__Bacteria|p__Proteobacteria	41.73329
k__Bacteria|p__Firmicutes	25.15016
k__Bacteria|p__Bacteroidetes	21.40418
k__Bacteria|p__Actinobacteria	7.52902
k__Bacteria|p__Fusobacteria	3.96906
k__Viruses|p__Viruses_noname	0.20989
k__Bacteria|p__Candidatus_Saccharibacteria	0.00228
k__Bacteria|p__Spirochaetes	0.00211
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	26.3709
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	20.11845
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	14.28835
k__Bacteria|p__Firmicutes|c__Negativicutes	11.16977
k__Bacteria|p__Firmicutes|c__Bacilli	8.54539
k__Bacteria|p__Actinobacteria|c__Actinobacteria	7.52902
k__Bacteria|p__Firmicutes|c__Clostridia	4.78062
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	3.96906
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1.24521
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1.07404
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.65438
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.20989
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.04053
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00228
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.00211
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	26.20692
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	20.11845
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	14.23214
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	11.16977
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	7.36734
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6.49363
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	4.78062
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	3.96906
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2.05176
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1.24521
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1.07404
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.65438
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.20989
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.16168
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	0.08338
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0806
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.05621
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.04053
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00228
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.00211
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	26.20692
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	14.23214
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	11.96772
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	11.16977
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	8.15073
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	5.76888
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	4.2245
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	3.94179
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	3.58257
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	3.33431
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	2.05176
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	1.24521
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	1.07404
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.65688
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.65438
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.38649
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.32262
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae	0.20989
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.18382
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.16168
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.09124
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae	0.08338
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.0806
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0.06786
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0.05621
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.04394
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname	0.04053
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.00381
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.00228
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	0.00211
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.00192
