#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	92.65599
k__Bacteria|p__Firmicutes	6.85197
k__Bacteria|p__Proteobacteria	0.29264
k__Bacteria|p__Verrucomicrobia	0.1879
k__Bacteria|p__Actinobacteria	0.01149
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	92.65599
k__Bacteria|p__Firmicutes|c__Clostridia	6.5445
k__Bacteria|p__Firmicutes|c__Negativicutes	0.26553
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.1879
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.1728
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.06896
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.05089
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.04195
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.01149
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	92.65599
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	6.5445
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.26553
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.1879
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.1728
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.05089
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.04195
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.0356
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.03336
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00595
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.00555
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	76.57028
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	12.65362
