#SampleID	Metaphlan2_Analysis
k__Bacteria	99.95238
k__Archaea	0.04762
k__Bacteria|p__Bacteroidetes	59.83734
k__Bacteria|p__Firmicutes	38.15781
k__Bacteria|p__Proteobacteria	1.08655
k__Bacteria|p__Verrucomicrobia	0.77976
k__Bacteria|p__Actinobacteria	0.09093
k__Archaea|p__Euryarchaeota	0.04762
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	59.83734
k__Bacteria|p__Firmicutes|c__Clostridia	37.01297
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.01407
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.77976
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.70474
k__Bacteria|p__Firmicutes|c__Negativicutes	0.35933
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.09093
k__Bacteria|p__Firmicutes|c__Bacilli	0.08077
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.06624
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.04762
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.00625
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	59.83734
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	37.01297
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.01407
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.77976
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.70474
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.35933
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.0874
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.08077
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.06624
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.04762
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00353
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00328
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.00297
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	33.30947
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	28.60812
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	15.49257
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	10.73945
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	5.23928
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.0323
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.98122
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.77976
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.70474
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.35933
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.23484
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.0874
