#SampleID	Metaphlan2_Analysis
k__Bacteria	90.79605
k__Viruses	8.13549
k__Eukaryota	1.06846
k__Bacteria|p__Actinobacteria	58.68225
k__Bacteria|p__Firmicutes	31.01757
k__Viruses|p__Viruses_noname	8.13549
k__Bacteria|p__Bacteroidetes	1.09624
k__Eukaryota|p__Basidiomycota	1.06846
k__Bacteria|p__Actinobacteria|c__Actinobacteria	58.68225
k__Bacteria|p__Firmicutes|c__Bacilli	30.91499
k__Viruses|p__Viruses_noname|c__Viruses_noname	8.13549
k__Eukaryota|p__Basidiomycota|c__Exobasidiomycetes	1.06846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.69707
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.39917
k__Bacteria|p__Firmicutes|c__Clostridia	0.10258
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	57.76627
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	30.89672
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	8.13549
k__Eukaryota|p__Basidiomycota|c__Exobasidiomycetes|o__Malasseziales	1.06846
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.91597
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.69707
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.39917
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.10258
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.01827
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	53.04021
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	30.878
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	8.13549
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	4.56566
k__Eukaryota|p__Basidiomycota|c__Exobasidiomycetes|o__Malasseziales|f__Malasseziaceae	1.06846
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.91597
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.4212
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.39917
