#SampleID	Metaphlan2_Analysis
k__Bacteria	99.85878
k__Archaea	0.14122
k__Bacteria|p__Firmicutes	53.15149
k__Bacteria|p__Bacteroidetes	45.48293
k__Bacteria|p__Verrucomicrobia	0.44441
k__Bacteria|p__Proteobacteria	0.39139
k__Bacteria|p__Actinobacteria	0.38556
k__Archaea|p__Euryarchaeota	0.14122
k__Bacteria|p__Deinococcus_Thermus	0.00301
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	45.48293
k__Bacteria|p__Firmicutes|c__Clostridia	41.44509
k__Bacteria|p__Firmicutes|c__Negativicutes	11.47055
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.44441
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.38556
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.26262
k__Bacteria|p__Firmicutes|c__Bacilli	0.22737
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.14122
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.11755
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01123
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.00847
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.00301
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	45.48293
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	41.44509
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	11.47055
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.44441
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.30604
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.26262
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.22737
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.14122
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.07481
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.07016
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.02867
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.01872
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.01123
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.00847
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00471
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	0.00301
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	35.58296
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	22.41397
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	14.69319
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	11.47055
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	7.36877
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.12775
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2.57428
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	1.00355
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.44441
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.30604
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.26262
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.22737
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.14122
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.09532
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.07481
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.07016
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.04891
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.02867
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0.01872
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.01587
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.01123
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.00847
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.00471
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.00345
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	0.00301
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	23.7314
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	22.41397
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	14.69319
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	10.95232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	7.56445
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	4.40477
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	4.2643
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	2.57428
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	2.10705
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	1.24148
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	1.10355
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname	1.00355
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0.85667
