#SampleID	Metaphlan2_Analysis
k__Bacteria	99.99576
k__Viruses	0.00424
k__Bacteria|p__Bacteroidetes	53.99048
k__Bacteria|p__Firmicutes	44.05452
k__Bacteria|p__Proteobacteria	1.11208
k__Bacteria|p__Actinobacteria	0.82018
k__Bacteria|p__Verrucomicrobia	0.01823
k__Viruses|p__Viruses_noname	0.00424
k__Bacteria|p__Candidatus_Saccharibacteria	0.00026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	53.99048
k__Bacteria|p__Firmicutes|c__Clostridia	43.48143
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.92423
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.82018
k__Bacteria|p__Firmicutes|c__Bacilli	0.36016
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.13776
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.11246
k__Bacteria|p__Firmicutes|c__Negativicutes	0.07517
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.04982
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.02557
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.01823
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00424
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	53.99048
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	43.48143
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.91219
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.46035
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.33953
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.3388
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.13776
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.11246
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.07517
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.04982
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.02557
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.02136
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0203
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.01823
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.01204
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.00424
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	33.00807
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	29.2846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	18.80177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	9.36604
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	3.46618
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.1577
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.12932
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.91219
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.46035
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.33953
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.3368
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.17604
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.13776
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.11246
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.07517
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.04982
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.03385
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.02295
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.02136
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.0203
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.01845
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.01823
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.01744
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.01204
