#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	58.06638
k__Bacteria|p__Bacteroidetes	19.28064
k__Bacteria|p__Actinobacteria	14.64884
k__Bacteria|p__Fusobacteria	5.71064
k__Bacteria|p__Proteobacteria	2.28892
k__Bacteria|p__Candidatus_Saccharibacteria	0.00458
k__Bacteria|p__Firmicutes|c__Negativicutes	36.29958
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	19.21698
k__Bacteria|p__Firmicutes|c__Bacilli	17.59476
k__Bacteria|p__Actinobacteria|c__Actinobacteria	14.64884
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	5.71064
k__Bacteria|p__Firmicutes|c__Clostridia	2.74403
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1.62485
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.42801
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.66408
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.06289
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00458
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.00078
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	36.29958
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	19.21698
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	16.75337
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	13.83886
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	5.71064
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2.74403
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1.62485
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.42801
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.84139
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.78985
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.66408
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.06289
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.02013
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00458
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.00078
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	36.29958
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	19.15803
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	15.32805
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	12.31995
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	5.41486
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2.31245
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	1.62485
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	1.48911
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	1.42801
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	1.42178
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.84139
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.78985
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.66408
