#SampleID	Metaphlan2_Analysis
k__Bacteria	99.93433
k__Archaea	0.06219
k__Viruses	0.00348
k__Bacteria|p__Bacteroidetes	83.95703
k__Bacteria|p__Firmicutes	15.1805
k__Bacteria|p__Proteobacteria	0.51846
k__Bacteria|p__Actinobacteria	0.27532
k__Archaea|p__Euryarchaeota	0.06219
k__Viruses|p__Viruses_noname	0.00348
k__Bacteria|p__Verrucomicrobia	0.00301
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	83.95703
k__Bacteria|p__Firmicutes|c__Clostridia	9.80766
k__Bacteria|p__Firmicutes|c__Negativicutes	5.00777
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.32977
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.27532
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.19505
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.17872
k__Bacteria|p__Firmicutes|c__Bacilli	0.17002
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.06219
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.00997
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00348
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.00301
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	83.95703
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	9.80766
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	5.00777
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.32001
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.19505
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.18935
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.17872
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.17002
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.08597
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.06219
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.00997
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.00975
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.00348
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.00301
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	54.22114
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	20.74732
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	6.02305
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	5.20898
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	5.00777
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2.34851
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	1.8471
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.27039
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.09116
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.61702
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.35474
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.32001
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.19505
