#SampleID	Metaphlan2_Analysis
k__Bacteria	99.38184
k__Viruses	0.61816
k__Bacteria|p__Proteobacteria	57.60905
k__Bacteria|p__Firmicutes	26.00483
k__Bacteria|p__Bacteroidetes	8.23603
k__Bacteria|p__Actinobacteria	4.64249
k__Bacteria|p__Fusobacteria	2.88842
k__Viruses|p__Viruses_noname	0.61816
k__Bacteria|p__Spirochaetes	0.00101
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	51.64201
k__Bacteria|p__Firmicutes|c__Bacilli	18.01552
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	7.65832
k__Bacteria|p__Firmicutes|c__Negativicutes	7.24365
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5.67731
k__Bacteria|p__Actinobacteria|c__Actinobacteria	4.64249
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.88842
k__Bacteria|p__Firmicutes|c__Clostridia	0.72181
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.61816
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.57555
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.28973
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.02385
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.00217
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.00101
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	51.636
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	15.97329
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	7.65832
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	7.24365
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	5.59613
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	4.61932
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2.88842
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2.04223
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.72181
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.61816
