#SampleID	Metaphlan2_Analysis
k__Bacteria	99.91019
k__Archaea	0.08981
k__Bacteria|p__Bacteroidetes	59.18779
k__Bacteria|p__Firmicutes	38.58767
k__Bacteria|p__Verrucomicrobia	1.44693
k__Bacteria|p__Proteobacteria	0.62863
k__Archaea|p__Euryarchaeota	0.08981
k__Bacteria|p__Actinobacteria	0.05916
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	59.18779
k__Bacteria|p__Firmicutes|c__Clostridia	34.45153
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	3.62122
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1.44693
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.54371
k__Bacteria|p__Firmicutes|c__Bacilli	0.31581
k__Bacteria|p__Firmicutes|c__Negativicutes	0.19911
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.08981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0741
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.05916
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01083
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	59.18779
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	34.45153
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	3.62122
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1.44693
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.54371
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.31581
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.19911
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.08981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.06622
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.0371
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.02036
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.01083
