#SampleID	Metaphlan2_Analysis
k__Bacteria	92.08063
k__Viruses	7.91937
k__Bacteria|p__Proteobacteria	49.94745
k__Bacteria|p__Bacteroidetes	21.51609
k__Bacteria|p__Firmicutes	15.76389
k__Viruses|p__Viruses_noname	7.91937
k__Bacteria|p__Fusobacteria	2.41549
k__Bacteria|p__Actinobacteria	2.20344
k__Bacteria|p__Spirochaetes	0.18508
k__Bacteria|p__Candidatus_Saccharibacteria	0.04789
k__Bacteria|p__Synergistetes	0.00129
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	39.3208
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	18.40822
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10.34061
k__Bacteria|p__Firmicutes|c__Bacilli	8.13426
k__Viruses|p__Viruses_noname|c__Viruses_noname	7.91937
k__Bacteria|p__Firmicutes|c__Negativicutes	5.82528
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2.47247
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.41549
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.20344
k__Bacteria|p__Firmicutes|c__Clostridia	1.48959
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.6354
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.31476
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.28604
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.18508
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.04789
k__Bacteria|p__Synergistetes|c__Synergistia	0.00129
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	39.25516
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	18.40822
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	10.08122
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	7.89337
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6.69319
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	5.82528
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2.47247
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2.41549
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2.15144
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.48959
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.44107
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.6354
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.31476
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.28604
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.20914
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.18508
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.06564
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.052
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	0.05025
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.04789
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	0.026
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.00129
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	39.25516
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	10.08122
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	9.88764
