#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Proteobacteria	80.62282
k__Bacteria|p__Firmicutes	11.97428
k__Bacteria|p__Bacteroidetes	3.9649
k__Bacteria|p__Actinobacteria	2.24681
k__Bacteria|p__Fusobacteria	1.19118
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	48.86203
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	31.58025
k__Bacteria|p__Firmicutes|c__Bacilli	7.95981
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3.78709
k__Bacteria|p__Firmicutes|c__Negativicutes	3.62619
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.24681
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.19118
k__Bacteria|p__Firmicutes|c__Clostridia	0.32753
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.18055
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.17781
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.06075
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	48.86203
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	31.58025
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6.98376
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3.78709
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.62619
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2.12473
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.19118
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.97605
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.32753
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.18055
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.17781
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.12208
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.06075
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	48.86203
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	31.58025
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	6.19807
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	3.78709
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	3.62619
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.9934
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.97605
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.95288
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.78569
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.64734
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.54385
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.18119
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.18055
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.17845
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.17781
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.12208
